,index,Unnamed: 0.2,CGNDB ID,place_name,ISO Language Code,language,Syllabic Form,term,category,Concise Code,Toponymic Feature ID,lat,long,Location,province,relevance,Decision Date,Source,Unnamed: 0.1,Unnamed: 0,description,etymology,merge_type,source,predicted_etymology
6774,5939,,,Chasm,,,,,,,,51.216667,-121.48333,,,,,,,,,English,,Predicted,English
6775,5940,,,Chaswood,,,,,,,,45.043836,-63.216064,,,,,,,,,English,,Predicted,English
6776,5941,,,Chateau,,,,,,,,51.979972,-55.8967163,,,,,,,,,French,,Predicted,French
6777,5942,,,Chater,,,,,,,,49.867222,-99.831389,,,,,,,,,English,,Predicted,English
6778,5943,,,Chatfield,,,,,,,,50.783889,-97.570833,,,,,,,,,English,,Predicted,English
6779,5944,,,Chatham Head,,,,,,,,46.997134,-65.548116,,,,,,,,,English,,Predicted,English
6780,5945,,,Chats Haven,,,,,,,,45.43494,-76.34293,,,,,,,,,English,,Predicted,English
6781,5946,,,Chatterton,,,,,,,,44.2461111,-77.4786111,,,,,,,,,English,,Predicted,English
6782,5947,,,Chaudière-Bassin,,,,,,,,46.7388889,-71.2683333,,,,,,,,,French,,Predicted,French
6783,5948,,,Chauvigny,,,,,,,,48.409963,-71.230713,,,,,,,,,French,,Predicted,French
6784,5949,,,Chazel,,,,,,,,48.864366,-79.054938,,,,,,,,,Indigenous,,Predicted,Indigenous
6785,5950,,,Cheadle,,,,,,,,51.0144445,-113.5405556,,,,,,,,,English,,Predicted,English
6786,5952,,,Cheam View,,,,,,,,49.25,-121.68333,,,,,,,,,Indigenous,,Predicted,Indigenous
6787,5953,,,Cheapside,,,,,,,,42.8391667,-79.9813889,,,,,,,,,English,,Predicted,English
6788,5954,,,Chebogue Point,,,,,,,,43.761346,-66.115977,,,,,,,,,Indigenous,,Predicted,Indigenous
6789,5955,,,Cheddar,,,,,,,,44.98639,-78.1318,,,,,,,,,Indigenous,,Predicted,Indigenous
6790,5956,,,Chedderville,,,,,,,,52.1741667,-114.8344444,,,,,,,,,English,,Predicted,English
6791,5957,,,Cheekye,,,,,,,,49.8,-123.15,,,,,,,,,Indigenous,,Predicted,Indigenous
6792,5958,,,Cheeseborough,,,,,,,,44.36,-76.1797222,,,,,,,,,Indigenous,,Predicted,Indigenous
6793,5959,,,Chelan,,,,,,,,52.610072,-103.398403,,,,,,,,,Scottish,,Predicted,Scottish
6794,5960,,,Chelmsford,,,,,,,,46.888929,-65.640781,,,,,,,,,English,,Predicted,English
6795,5961,,,Chelsea,,,,,,,,45.503997,-75.79588,,,,,,,,,English,,Predicted,English
6796,5962,,,Chelsea,,,,,,,,44.37147,-64.740994,,,,,,,,,English,,Predicted,English
6797,5964,,,Chelton,,,,,,,,46.303945,-63.744373,,,,,,,,,English,,Predicted,English
6798,5965,,,Chemical Road,,,,,,,,45.788066,-64.673882,,,,,,,,,Indigenous,,Predicted,Indigenous
6799,5966,,,Chemin-Craig,,,,,,,,46.6305556,-71.3630556,,,,,,,,,Indigenous,,Predicted,Indigenous
6800,5967,,,Chemin-Guay,,,,,,,,46.222222,-74.248333,,,,,,,,,Indigenous,,Predicted,Indigenous
6801,5968,,,Chemin-Neuf,,,,,,,,46.4344444,-70.6055556,,,,,,,,,Indigenous,,Predicted,Indigenous
6802,5969,,,Chemin-des-Buttes,,,,,,,,47.3988889,-61.7825,,,,,,,,,Indigenous,,Predicted,Indigenous
6803,5970,,,Chemin-des-Pins,,,,,,,,45.5786111,-75.8777778,,,,,,,,,French,,Predicted,French
6804,5971,,,Chemin-du-Lac,,,,,,,,47.7441667,-69.5452778,,,,,,,,,Indigenous,,Predicted,Indigenous
6805,5974,,,Chenail-du-Moine,,,,,,,,46.07,-72.9883333,,,,,,,,,Indigenous,,Predicted,Indigenous
6806,5975,,,Chenaux,,,,,,,,45.5722223,-76.7163889,,,,,,,,,French,,Predicted,French
6807,5976,,,Cheneka,,,,,,,,51.1825,-114.7663889,,,,,,,,,Indigenous,,Predicted,Indigenous
6808,5977,,,Cheney,,,,,,,,45.4134,-75.24318,,,,,,,,,English,,Predicted,English
6809,5978,,,Chepstow,,,,,,,,46.354783,-62.214904,,,,,,,,,Indigenous,,Predicted,Indigenous
